iter	Passed	Remaining
820	10820	103096	821	10821	103242	822	10822	103366	823	10823	103496	824	10824	103608	825	10825	103735	826	10826	103850	827	10827	103975	828	10828	104095	829	10829	104213	830	10830	104336	831	10831	104474	832	10832	104614	833	10833	104730	834	10834	104848	835	10835	104984	836	10836	105103	837	10837	105236	838	10838	105351	839	10839	105480	840	10840	105606	841	10841	105720	842	10842	105853	843	10843	105975	844	10844	106098	845	10845	106222	846	10846	106350	847	10847	106461	848	10848	106598	849	10849	106730	850	10850	106869	851	10851	106986	852	10852	107101	853	10853	107222	854	10854	107363	855	10855	107491	856	10856	107613	857	10857	107750	858	10858	107851	859	10859	107983	860	10860	108113	861	10861	108222	862	10862	108368	863	10863	108494	864	10864	108604	865	10865	108734	866	10866	108859	867	10867	108986	868	10868	109113	869	10869	109242	870	10870	109369	871	10871	109486	872	10872	109606	873	10873	109725	874	10874	109846	875	11875	109960	876	11876	110076	877	11877	110199	878	11878	110322	879	11879	110440	880	11880	110567	881	11881	110689	882	11882	110818	883	11883	110945	884	11884	111067	885	11885	111179	886	11886	111312	887	11887	111436	888	11888	111558	889	11889	111689	890	11890	111828	891	11891	111946	892	11892	112070	893	11893	112196	894	11894	112318	895	11895	112434	896	11896	112544	897	11897	112678	898	11898	112795	899	11899	112907	900	11900	113032	901	113313	12311
902	113452	12187
903	113585	12062
904	113688	11934
905	113823	11809
906	113938	11682
907	114065	11557
908	114194	11432
909	114312	11305
910	114442	11180
911	114561	11054
912	11912	114519	913	11913	114641	914	11914	114764	915	11915	114897	916	11916	115011	917	11917	115129	918	11918	115248	919	11919	115366	920	11920	115493921	11921	115608922	11922	115730923	11923	115850924	11924	115985925	11925	116103926	11926	116224927	11927	116353928	11928	116478929	11929	116610930	11930	116736931	11931	116851932	117144	8412
933	11933	117118934	11934	117230935	11935	117366936	11936	117499937	11937	117619938	11938	117739939	11939	117873940	11940	118015941	11941	118155942	11942	118270943	11943	118397944	11944	118526	6898
945	118654	6773
946	118791	6648
947	118926	6523
948	119052	6398
949	119176	6272
950	119291	6146
951	119417	6021
952	119543	5895
953	119665	5770
954	119803	5645
955	119928	5519
956	120030	5393
957	120159	5267
958	120287	5142
959	120415	5017
960	120537	4891
961	120661	4766
962	120790	4640
963	120907	4515
964	121015	4389
965	121139	4263
966	121258967	12967	121380968	12968	121506969	12969	121620970	12970	121742971	12971	121869972	12972	121991973	12973	122114974	12974	122244	3134
975	122380	3009
