iter	Passed	Remaining
666	5079784	2536084
667	5085102	2527326
668	5091761	2519242
669	5098006	2510958
670	5104925	2503011
671	5111345	2494823
672	5117350	2486439
673	5123771	2478263
674	5128514	2469284
675	5134554	2460940
676	5140603	2452607
677	5146179	2444055
678	5151634	2435455
679	5157009	2426828
680	5162503	2418265
681	5168887	2410126
682	5175079	2401903
683	5180941	2393534
684	5186924	2385228
685	5193459	2377181
686	5199507	2368916
687	5205771	2360756
688	5211610	2352410
689	5217377	2344039
690	5223497	2335833
691	5229873	2327747
692	5235863	2319495
693	5241176	2310951
694	5246720	2302517
695	5252542	2294213
696	5257890	2285711
697	5263937	2277520
698	5268858	2268850
699	5273098	2259899
700	5276473	2250592
701	5279973	2241356
702	5284185	2232436
703	5288294	2223487
704	5291569	2214202
705	5295174	2205072
706	5298603	2195885
707	5301890	2186655
708	5305631	2177628
709	5309179	2168538
710	5312666	2159438
711	5315926	2150262
712	5319272	2141137
713	5323139	2132238
714	5326794	2123267
715	5330483	2114325
716	5333823	2105260
717	5337277	2096256
718	5340891	2087330
719	5344558	2078439
720	5348320	2069599
721	5352025	2060752
722	5355221	2051723
723	5358497	2042742
724	5361771	2033775
725	5365465	2024982
726	5369146	2016199
727	5372678	2007374
728	5376069	1998511
729	5379638	1989729
730	5382948	1980866
731	5386599	1972143
732	5389681	1963226
733	5393070	1954437
734	5396328	1945615
735	5399762	1936871
736	5403043	1928087
737	5406619	1919423
738	5409847	1910649
739	5413249	1901952
740	5416574	1893242
741	5419353	1884357
742	5421874	1875399
743	5424524	1866503
744	5427770	1857827
745	5430508	1848993
746	5433098	1840125
747	5435788	1831308
748	5438331	1822458
749	5440300	1813433
750	5442285	1804432
751	5444462	1795514
752	5446479	1786560
753	5448365	1777583
754	5449917	1768516
755	5452086	1759668
756	5454014	1750760
757	5456067	1741910
758	5458065	1733061
759	5460437	1724348
760	5462413	1715528
761	5464604	1706792
762	5466770	1698066
763	5468880	1689339
764	5471058	1680652
765	5472992	1671906
766	5474888	1663166
767	5477115	1654545
768	5479445	1645971
769	5481350	1637286
770	5483357	1628649
771	5485362	1620029
772	5487574	1611487
773	5489515	1602881
774	5491815	1594397
775	5493799	1585839
776	5495683	1577268
777	5497791	1568778
778	5499932	1560314
779	5502037	1551856
780	5504004	1543376
781	5506121	1534954
782	5508244	1526550
783	5510239	1518127
784	5512324	1509744
785	5514300	1501348
786	5516327	1492983
787	5518522	1484678
788	5520519	1476336
789	5522704	1468060
790	5524798	1459776
791	5527088	1451558
792	5528733	1443187
793	5530800	1434943
794	5532681	1426666
795	5534756	1418455
796	5536980	1410297
797	5539158	1402142
798	5541194	1393967
799	5543249	1385812
800	5545331	1377679
801	5547415	1369561
802	5549669	1361500
803	5551540	1353360
804	5553657	1345295
805	5555776	1337246
806	5557749	1329176
807	5559684	1321113
808	5562097	1313177
809	5563996	1305134
810	5565938	1297117
811	5568080	1289161
812	5570248	1281225
813	5572387	1273297
814	5574611	1265402
815	5576586	1257465
816	5578433	1249514
817	5580689	1241669
818	5582736	1233791
819	5584631	1225894
820	5586643	1218037
821	5588844	1210236
822	5591254	1202493
823	5593338	1194693
824	5595114	1186842
825	5597369	1179106
826	5599472	1171352
827	5601731	1163644
828	5603774	1155905
829	5605593	1148133
830	5607737	1140442
831	5609971	1132782
832	5612066	1125108
833	5614186	1117451
834	5616405	1109828
835	5618647	1102222
836	5620684	1094589
837	5622604	1086947
838	5624496	1079313
839	5626746	1071761
840	5628647	1064155
841	5630747	1056601
842	5632714	1049034
843	5634942	1041529
844	5637088	1034022
845	5639096	1026502
846	5641011	1018978
847	5643237	1011523
848	5645427	1004074
849	5647394	996599
850	5649117	989093
851	5651059	981639
852	5653264	974243
853	5655280	966827
854	5657351	959433
855	5659426	952053
856	5661380	944664
857	5663084	937247
858	5665222	929914
859	5667085	922548
860	5668984	915201
861	5671234	907923
862	5673508	900661
863	5675571	893377
864	5677768	886125
865	5679716	878847
866	5681905	871618
867	5683855	864365
868	5685598	857092
869	5687531	849860
870	5689497	842646
871	5691543	835455
872	5693710	828294
873	5695773	821129
874	5697868	813981
875	5700129	806867
876	5701990	799709
877	5704371	792634
878	5706483	785534
879	5708492	778430
880	5710466	771334
881	5712639	764276
882	5714891	757239
883	5717123	750210
884	5719200	743172
885	5721219	736138
886	5723469	729145
887	5725648	722153
888	5727523	715135
889	5729636	708157
890	5731697	701184
891	5733718	694217
892	5735607	687245
893	5737578	680294
894	5739562	673356
895	5741500	666424
896	5743480	659507
897	5745719	652631
898	5747933	645763
899	5749981	638886
900	5751876	632004
901	5753919	625148
902	5756280	618337
903	5758611	611534
904	5760616	604705
905	5762879	597914
906	5765012	591120
907	5766982	584319
908	5769257	577560
909	5771232	570781
910	5773545	564045
911	5775388	557274
912	5777330	550523
913	5779565	543810
914	5781761	537103
915	5783943	530405
916	5785985	523704
917	5788239	517032
918	5790263	510349
919	5792268	503675
920	5794308	497014
921	5796493	490375
922	5798159	483703
923	5800060	477061
924	5801797	470416
925	5803580	463785
926	5805358	457164
927	5806885	450534
928	5808295	443906
929	5809866	437301
930	5811231	430692
931	5812552	424091
932	5813738	417492
933	5815215	410925
934	5816660	404366
935	5817907	397805
936	5819251	391262
937	5820598	384730
938	5821789	378199
939	5823055	371684
940	5824449	365188
941	5825915	358708
942	5827033	352217
943	5828532	345760
944	5829908	339306
945	5831018	332848
946	5832341	326414
947	5833628	319988
948	5834922	313573
949	5836159	307166
950	5837407	300770
951	5838794	294392
952	5840183	288025
953	5841533	281667
954	5842885	275319
955	5844022	268971
956	5844821	262619
957	5845751	256285
958	5846609	249959
959	5847350	243639
960	5848037	237329
961	5848803	231033
962	5849969	224765
963	5850888	218497
964	5851584	212233
965	5852219	205978
966	5852964	199739
967	5853618	193508
968	5854278	187288
969	5854870	181078
970	5855529	174881
971	5856140	168695
972	5856750	162520
973	5857372	156356
974	5858002	150205
975	5858625	144064
976	5859285	137936
977	5859876	131817
978	5860454	125709
979	5861109	119614
980	5861729	113529
981	5862358	107456
982	5862971	101394
983	5863617	95343
984	5864286	89303
985	5864954	83275
986	5865598	77257
987	5866251	71250
988	5866942	65254
989	5867488	59267
990	5868099	53292
991	5868751	47328
992	5869390	41375
993	5870064	35432
994	5870763	29501
995	5871437	23580
996	5872005	17669
997	5872636	11768
998	5873206	5879
999	5873902	0
